inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV03,3,3,2,9890132.338,459568.284,-0.9939861,116.6365985,73.32,13.076,0.6,0.14,0.132,459569.047,9890134.005,-0.993971,116.6366054
WB01-INV03,4,4,2,9890146.843,459583.531,-0.9938549,116.6367356,72.0,13.837,2.7,0.66,0.138,459584.647,9890148.541,-0.9938395,116.6367456
WB01-INV03,5,5,3,9890139.506,459583.924,-0.9939212,116.6367391,72.63,13.064,0.5,0.12,0.188,459584.647,9890141.273,-0.9939053,116.6367456
WB01-INV03,6,6,3,9890146.821,459599.097,-0.9938551,116.6368755,71.89,13.758,2.3,0.56,0.134,459600.247,9890148.541,-0.9938395,116.6368858
WB01-INV03,7,7,4,9890139.508,459599.432,-0.9939212,116.6368785,72.48,12.585,1.6,0.36,0.15,459600.247,9890141.273,-0.9939053,116.6368858
WB01-INV03,8,8,4,9890146.811,459615.009,-0.9938552,116.6370185,71.86,15.105,0.3,0.08,0.145,459615.847,9890148.541,-0.9938395,116.637026
WB01-INV03,9,9,5,9890139.506,459614.886,-0.9939213,116.6370174,72.59,12.793,359.7,-0.07,0.19,459615.847,9890141.273,-0.9939053,116.637026
WB01-INV03,10,10,5,9890154.33,459630.268,-0.9937872,116.6371556,71.18,9.978,2.7,0.47,0.066,459631.447,9890155.809,-0.9937738,116.6371662
WB01-INV03,11,11,6,9890146.83,459630.514,-0.993855,116.6371578,71.86,13.077,0.1,0.02,0.136,459631.447,9890148.541,-0.9938395,116.6371662
WB01-INV03,12,12,6,9890139.494,459630.426,-0.9939214,116.637157,72.38,12.804,2.0,0.45,0.234,459631.447,9890141.273,-0.9939053,116.6371662
WB01-INV03,13,13,7,9890154.398,459645.832,-0.9937866,116.6372955,71.18,9.909,1.7,0.3,0.074,459647.047,9890155.809,-0.9937738,116.6373064
WB01-INV03,14,14,7,9890146.867,459646.1,-0.9938547,116.6372979,72.13,12.162,358.9,-0.24,0.081,459647.047,9890148.541,-0.9938396,116.6373064
WB01-INV03,15,15,8,9890139.579,459646.096,-0.9939206,116.6372979,72.58,10.946,358.7,-0.25,0.056,459647.047,9890141.273,-0.9939053,116.6373064
WB01-INV03,16,16,8,9890154.438,459661.47,-0.9937862,116.6374361,71.2,10.099,1.6,0.28,0.081,459662.647,9890155.809,-0.9937738,116.6374467
WB01-INV03,17,17,9,9890146.858,459661.704,-0.9938548,116.6374382,72.22,11.17,4.0,0.79,0.133,459662.647,9890148.541,-0.9938396,116.6374467
WB01-INV03,18,18,9,9890139.57,459661.625,-0.9939207,116.6374375,72.64,10.999,4.8,0.93,0.149,459662.647,9890141.273,-0.9939053,116.6374466
WB01-INV04,1,1,1,9890134.005,459584.647,-0.993971,116.6367456,72.9,10.799,1.5,0.29,0.07,459584.647,9890134.005,-0.993971,116.6367456
WB01-INV04,2,2,1,9890126.737,459584.647,-0.9940368,116.6367456,73.59,11.054,1.5,0.29,0.13,459584.647,9890126.737,-0.9940368,116.6367456
WB01-INV04,3,3,2,9890119.469,459584.647,-0.9941025,116.6367456,74.41,11.313,3.2,0.64,0.199,459584.647,9890119.469,-0.9941025,116.6367456
WB01-INV04,4,4,2,9890134.005,459600.247,-0.993971,116.6368858,72.89,11.354,0.8,0.16,0.065,459600.247,9890134.005,-0.993971,116.6368858
WB01-INV04,5,5,3,9890126.737,459600.247,-0.9940368,116.6368858,73.51,12.06,0.2,0.04,0.14,459600.247,9890126.737,-0.9940368,116.6368858
WB01-INV04,6,6,3,9890119.469,459600.247,-0.9941025,116.6368858,74.37,11.335,1.8,0.36,0.12,459600.247,9890119.469,-0.9941025,116.6368858
WB01-INV04,7,7,4,9890134.005,459615.847,-0.993971,116.637026,72.83,11.185,0.1,0.02,0.153,459615.847,9890134.005,-0.993971,116.637026
WB01-INV04,8,8,4,9890126.737,459615.847,-0.9940368,116.637026,73.46,12.06,0.3,0.06,0.129,459615.847,9890126.737,-0.9940368,116.637026
WB01-INV04,9,9,5,9890119.469,459615.847,-0.9941025,116.637026,74.29,11.714,2.2,0.46,0.122,459615.847,9890119.469,-0.9941025,116.637026
WB01-INV04,10,10,5,9890134.005,459631.447,-0.9939711,116.6371662,72.82,10.59,1.1,0.21,0.048,459631.447,9890134.005,-0.9939711,116.6371662
WB01-INV04,11,11,6,9890126.737,459631.447,-0.9940368,116.6371662,73.38,11.67,0.9,0.19,0.121,459631.447,9890126.737,-0.9940368,116.6371662
WB01-INV04,12,12,6,9890119.469,459631.447,-0.9941026,116.6371662,74.09,12.115,1.8,0.39,0.109,459631.447,9890119.469,-0.9941026,116.6371662
WB01-INV04,13,13,7,9890134.005,459647.047,-0.9939711,116.6373064,72.76,11.598,1.1,0.23,0.075,459647.047,9890134.005,-0.9939711,116.6373064
